image_id,image_path,mask_path,prompt,dataset,split
taping_IMG_20220627_111320-jpg_1500x2000_jpg.rf.488b731def6281f9968328696b0fca71,data/dataset1_raw/train/IMG_20220627_111320-jpg_1500x2000_jpg.rf.488b731def6281f9968328696b0fca71.jpg,data/dataset1/masks/train/IMG_20220627_111320-jpg_1500x2000_jpg.rf.488b731def6281f9968328696b0fca71.png,segment drywall seam,taping,train
taping_IMG_20220627_111136-jpg_1500x2000_jpg.rf.bc62930bb6c922fa3b9e748ea7fe7798,data/dataset1_raw/train/IMG_20220627_111136-jpg_1500x2000_jpg.rf.bc62930bb6c922fa3b9e748ea7fe7798.jpg,data/dataset1/masks/train/IMG_20220627_111136-jpg_1500x2000_jpg.rf.bc62930bb6c922fa3b9e748ea7fe7798.png,segment taping area,taping,train
taping_2000x1500_18_resized_jpg.rf.4fddc2a77836c710670ba10c534f02ff,data/dataset1_raw/train/2000x1500_18_resized_jpg.rf.4fddc2a77836c710670ba10c534f02ff.jpg,data/dataset1/masks/train/2000x1500_18_resized_jpg.rf.4fddc2a77836c710670ba10c534f02ff.png,segment taping area,taping,train
taping_IMG_20220627_111052-jpg_1500x2000_jpg.rf.5ccd234bf78cb6e22b705913c645705a,data/dataset1_raw/train/IMG_20220627_111052-jpg_1500x2000_jpg.rf.5ccd234bf78cb6e22b705913c645705a.jpg,data/dataset1/masks/train/IMG_20220627_111052-jpg_1500x2000_jpg.rf.5ccd234bf78cb6e22b705913c645705a.png,segment drywall seam,taping,train
taping_2000x1500_15_resized_jpg.rf.7c255133d6e92017168f19ec6b339c15,data/dataset1_raw/train/2000x1500_15_resized_jpg.rf.7c255133d6e92017168f19ec6b339c15.jpg,data/dataset1/masks/train/2000x1500_15_resized_jpg.rf.7c255133d6e92017168f19ec6b339c15.png,segment joint tape,taping,train
taping_IMG_20220627_111058-jpg_1500x2000_jpg.rf.51b483640aec7cb60b2e1f71e4ae7e60,data/dataset1_raw/train/IMG_20220627_111058-jpg_1500x2000_jpg.rf.51b483640aec7cb60b2e1f71e4ae7e60.jpg,data/dataset1/masks/train/IMG_20220627_111058-jpg_1500x2000_jpg.rf.51b483640aec7cb60b2e1f71e4ae7e60.png,segment taping area,taping,train
taping_IMG_8217_JPG_jpg.rf.21d5799bf0e5f0bc78e13a30cdb98528,data/dataset1_raw/train/IMG_8217_JPG_jpg.rf.21d5799bf0e5f0bc78e13a30cdb98528.jpg,data/dataset1/masks/train/IMG_8217_JPG_jpg.rf.21d5799bf0e5f0bc78e13a30cdb98528.png,segment taping area,taping,train
taping_IMG_8234_JPG_jpg.rf.45532691052b7b3d1f7e320f08af57ba,data/dataset1_raw/train/IMG_8234_JPG_jpg.rf.45532691052b7b3d1f7e320f08af57ba.jpg,data/dataset1/masks/train/IMG_8234_JPG_jpg.rf.45532691052b7b3d1f7e320f08af57ba.png,segment taping area,taping,train
taping_IMG_20220627_111127-jpg_1500x2000_jpg.rf.529bb82ced3093fe28ee6fe027f8db70,data/dataset1_raw/train/IMG_20220627_111127-jpg_1500x2000_jpg.rf.529bb82ced3093fe28ee6fe027f8db70.jpg,data/dataset1/masks/train/IMG_20220627_111127-jpg_1500x2000_jpg.rf.529bb82ced3093fe28ee6fe027f8db70.png,segment drywall seam,taping,train
taping_IMG_20220627_111127-jpg_1500x2000_jpg.rf.b6617375e662ff4cf3dc5f1a42c0fbe5,data/dataset1_raw/train/IMG_20220627_111127-jpg_1500x2000_jpg.rf.b6617375e662ff4cf3dc5f1a42c0fbe5.jpg,data/dataset1/masks/train/IMG_20220627_111127-jpg_1500x2000_jpg.rf.b6617375e662ff4cf3dc5f1a42c0fbe5.png,segment taping area,taping,train
taping_2000x1500_19_resized_jpg.rf.775f13cd94b7ce8979f460e7c9106abc,data/dataset1_raw/train/2000x1500_19_resized_jpg.rf.775f13cd94b7ce8979f460e7c9106abc.jpg,data/dataset1/masks/train/2000x1500_19_resized_jpg.rf.775f13cd94b7ce8979f460e7c9106abc.png,segment drywall seam,taping,train
taping_IMG_8234_JPG_jpg.rf.4cf3dd3041d04276d23180d5b27163a1,data/dataset1_raw/train/IMG_8234_JPG_jpg.rf.4cf3dd3041d04276d23180d5b27163a1.jpg,data/dataset1/masks/train/IMG_8234_JPG_jpg.rf.4cf3dd3041d04276d23180d5b27163a1.png,segment drywall seam,taping,train
